,text,length,pred,target,correct
0,<unk> pussy <unk>,3,0,0,1
1,tickets hoe <unk>,3,0,0,1
2,<unk> bitch tits,3,0,0,1
3,shut up bitch,3,0,0,1
4,<unk> hey <unk>,3,0,1,0
5,top layer trash.,3,1,1,1
6,<unk> lol cracker,3,0,0,1
7,da fuq ho,3,1,0,0
8,fuck off bitch,3,0,0,1
9,@justkarahn negro please,3,0,0,1
10,dumb ass bitch,3,0,0,1
11,@andreaa_olvera smd bitch,3,0,0,1
12,<unk> i'm trash,3,1,1,1
13,acid yellow <unk>,3,1,1,1
14,@prihncess bitch,2,0,0,1
15,free wop,2,1,1,1
16,bitch plz,2,0,0,1
17,my niggah,2,0,0,1
18,@urbasicyabish <unk>,2,0,1,0
19,@eanahs__ nips,2,0,1,0
20,<unk> <unk>,2,0,1,0
21,this bitch!,2,0,0,1
22,<unk> bitch,2,0,0,1
23,<unk> <unk>,2,0,2,0
24,jets trash,2,1,1,1
25,<unk> faggot,2,2,2,1
26,<unk> trash,2,1,1,1
27,@zimm16 pussy!!!!!,2,0,0,1
28,bitches dumb,2,0,0,1
29,<unk> trash,2,1,1,1
30,<unk> fags,2,2,2,1
31,&#128553; cunt,2,0,0,1
32,<unk> hey nig,3,0,0,1
33,cheer up charlie.,3,1,1,1
34,chance is trash,3,1,1,1
35,smoke sum bitch,3,0,0,1
36,@thatslutadrian bring bitches,3,0,0,1
37,<unk> so trash,3,1,1,1
38,@vewxyz this <unk>,3,0,0,1
39,stupid ass hoe,3,0,0,1
40,<unk> no hoe,3,0,0,1
41,lying bitch <unk>,3,0,0,1
42,u a hoe,3,0,0,1
43,shut up faggot,3,2,2,1
44,@ovotiluoverdose <unk> <unk>,3,0,2,0
45,i hate hoes.,3,0,2,0
46,the giants trash,3,1,1,1
47,barkley is trash,3,1,1,1
48,this brownies bro,3,2,1,0
49,twitter is trash,3,1,1,1
50,@mis_sarahd @basedpapi1017 tranny,3,2,1,0
51,fucking thirsty bitches,3,0,0,1
52,<unk> thanks <unk>,3,0,0,1
53,@sequoia_gabris yeah hoe!,3,0,0,1
54,@callmerenee_ wussup bitch,3,0,0,1
55,political ass bitches,3,0,0,1
56,you hoe spice,3,0,0,1
57,fuck <unk> bitches,3,0,0,1
58,mute it hoe.,3,0,0,1
59,slut whore hoe,3,0,0,1
60,&#128075; <unk> <unk>,3,0,1,0
61,@wyattnuckels haha bitch,3,0,0,1
62,dedication 4 hoe,3,0,0,1
63,she trash tho.,3,1,1,1
64,@kaycimalynn i know nigs,4,0,0,1
65,<unk> bitch <unk> <unk>,4,0,0,1
66,free my niggah <unk>,4,0,0,1
67,karma is a bitch,4,0,0,1
68,@callmerenee_ bitch u 1,4,0,0,1
69,with a pussy mullet,4,0,0,1
70,<unk> o <unk> #bitch,4,1,0,0
71,@moenkiana fine walk bitch,4,0,0,1
72,@dantoomey2 fuck you faggot,4,2,2,1
73,hungry then a hoe,4,0,0,1
74,<unk> bad bitches <unk>,4,0,0,1
75,<unk> bout time bitch,4,0,0,1
76,<unk> that bitch. <unk>,4,0,0,1
77,@b_shiznitt fuck off bitch,4,0,0,1
78,i made you bitch,4,0,0,1
79,rt <unk> kill whitey,4,2,2,1
80,<unk> fake bitches.... <unk>,4,1,0,0
81,<unk> boats and hoes,4,0,0,1
82,<unk> crave colored cock,4,2,0,0
83,<unk> every bitches claim,4,0,0,1
84,elizabeth is <unk> hoe.,4,1,2,0
85,thanksgiving early hoe <unk>,4,0,0,1
86,<unk> @midnight charlie <unk>,4,1,1,1
87,<unk> lookin good <unk>,4,0,1,0
88,webbie to retarded,3,0,0,1
89,freaky bitch hi,3,0,0,1
90,<unk> monkey <unk>,3,1,0,0
91,@o3_millz white bitch?,3,0,0,1
92,its <unk> bitch,3,0,0,1
93,@ me bitch,3,0,0,1
94,these birds <unk>,3,1,1,1
95,this bitch... lol,3,1,0,0
96,&amp; fuck your bitch,4,0,0,1
97,<unk> &gt; good pussy,4,0,0,1
98,<unk> happy birthday bitch!,4,0,0,1
99,call dat bitch... <unk>,4,0,0,1
100,my hoes trippin lol,4,0,0,1
101,pretty ass niggah. <unk>,4,0,0,1
102,@fabbymichelle bitch no &#9995;&#128514;,4,0,0,1
103,can't no hoe <unk>,4,0,0,1
104,<unk> bitch please &#9995;,4,0,0,1
105,this shit <unk> trash.,4,0,0,1
106,my niggah my <unk>,4,0,0,1
107,<unk> don't fail bitch,4,0,0,1
108,nobody likes bloody nips!,4,1,0,0
109,@maxwell_larsen your a cunt,4,0,2,0
110,uncle tom <unk> <unk>,4,1,2,0
111,can't save these hoes,4,0,0,1
112,<unk> grade a pussy.,4,0,0,1
113,rt <unk> <unk> <unk>,4,1,0,0
114,<unk> gator bait <unk>,4,1,1,1
115,dear spoiled suburban bitch...,4,0,0,1
116,monday like saturday <unk>,4,1,0,0
117,<unk> shut up bitch,4,0,0,1
118,@kieffer_jason bitch what time,4,0,0,1
119,<unk> is for trash.,4,1,1,1
120,i eats the pussy.,4,1,0,0
121,@blakeanderson21 thanks <unk> haha,4,1,1,1
122,rt <unk> bitch <unk>,4,0,0,1
123,lmao redskins turnin up,4,1,1,1
124,yeezus was fuckin trash,4,0,0,1
125,rt <unk> <unk> bitch,4,0,0,1
126,rt <unk> free wop,4,1,0,0
127,current <unk> ass bitch,4,0,0,1
128,<unk> how about darkskin dykes?,5,0,0,1
129,#alexfromtarget had them bitches <unk>,5,0,0,1
130,<unk> @vintage_monroe_ slut <unk> whore,5,0,0,1
131,@elise_palmer im assuming mickey bubbles,5,1,1,1
132,i'm finna start slapping bitches,5,0,0,1
133,rt <unk> tacos over hoes.,5,1,0,0
134,dumb ass bitch i swear,5,0,0,1
135,@laceeybugg <unk> here then bitch,5,0,0,1
136,<unk> @vsamone stupid bitch!&#8221; <unk>,5,0,0,1
137,this bitch is so <unk>,5,0,0,1
138,my mom is a cunt,5,0,0,1
139,<unk> r u a faggot?,5,0,0,1
140,i'm pussy whipping these hoes,5,0,0,1
141,<unk> don't start lil bitch,5,0,0,1
142,including ya size hoe !,5,0,0,1
143,@mckinley719 fuck bitches get money,5,0,0,1
144,"rt @zachthorpe78: ""the trash <unk>",5,1,1,1
145,@elchavaloko <unk> <unk> negros <unk>,5,1,1,1
146,happy birthday bitch <unk> <unk>,5,0,0,1
147,<unk> @me_noindirect whole hoe <unk>,5,0,0,1
148,<unk> these bitches drippin sauce,5,0,0,1
149,most these bitches ain't real,5,0,0,1
150,this fuckin bird <unk>,4,0,0,1
151,these bitches is crazy,4,0,0,1
152,how bout them <unk>,4,0,1,0
153,you're all faggot <unk>,4,2,2,1
154,slut opp thot hoe,4,0,0,1
155,fines hoes only &#128527;&#128076;,4,0,0,1
156,oreos are my life,4,1,1,1
157,@jayswaggkillah is a fag,4,2,0,0
158,<unk> don't hoe me,4,0,0,1
159,damn that bitch dumb,4,0,0,1
160,leave the <unk> to bitches,5,0,0,1
161,<unk> the ending was retarded,5,0,0,1
162,dont fuck wit broke bitches,5,0,0,1
163,rt @ghettoviine: dumb bitch <unk>,5,0,0,1
164,<unk> tonight feels like trash.,5,1,1,1
165,<unk> get all the hoes,5,0,0,1
166,rt <unk> lmfao <unk> <unk>,5,0,1,0
167,<unk> happy birthday bad bitch,5,0,0,1
168,marijuana turn good pussy <unk>,5,0,0,1
169,<unk> nice profile pic fag,5,2,0,0
170,<unk> <unk> <unk> <unk> apes,5,1,1,1
171,@girlthatsvonte no it ainn bitch,5,0,0,1
172,rt <unk> boats and hoes.,5,1,0,0
173,<unk> all a nigga need,5,0,0,1
174,@thebovee <unk> we outchea bitch,5,0,0,1
175,"""well bitch, biology <unk> &#128514;&#128514;&#128514;",5,1,0,0
176,there's other bad bitches &#128514;&#128514;,5,0,0,1
177,<unk> <unk> that's my bitch,5,0,0,1
178,"some ""don't cross me"" bitches",5,0,0,1
179,rt <unk> @1stblocjeremiah wya bitch,5,0,0,1
180,the bitch is <unk> <unk>,5,0,0,1
181,well ain't that a bitch,5,0,0,1
182,my mom bitches too much,5,0,0,1
183,<unk> it's a song hoe,5,0,0,1
184,fuck you ghetto ass coons,5,0,2,0
185,@jrise88 do it then pussy,5,0,0,1
186,#dutch <unk> are white trash.,5,1,2,0
187,broke bitches on my tl...,5,0,0,1
188,<unk> bitches get no love,5,0,0,1
189,oreo ice cream sandwich <unk>,5,1,1,1
190,@lettherainefall sucks to suck bitch.,5,0,0,1
191,"money, hoes, cars and clothes",5,1,0,0
192,<unk> @vintage_monroe_ knee <unk> ass,5,2,0,0
193,extra hard for these hoes.,5,0,0,1
194,and little bitch ass @_triggaplease_,5,0,0,1
195,"<unk> ""stay beautiful you <unk>",5,0,0,1
196,<unk> wow what a faggot,5,2,0,0
197,<unk> out dis hoe <unk>,5,0,0,1
198,rt <unk> not basic bitches,5,0,0,1
199,all y'all bitches corny lol,5,0,0,1
200,<unk> that's lil nig &#128526;,5,0,0,1
201,that nigga <unk> so trash,5,0,0,1
202,not a <unk> bitch <unk>,5,0,0,1
203,<unk> @longbongchris she's a dyke,5,2,0,0
204,@septembertha15 @callmerenee_ <unk> up bitch,5,0,0,1
205,<unk> them hoes look good,5,0,0,1
206,this hangover a bitch. <unk>,5,0,0,1
207,beer ball isn't for pussies,5,1,0,0
208,you like them bitch niggas.,5,0,2,0
209,and dis nicca still rapping,5,0,0,1
210,<unk> <unk> rule hoe. &#128524;,5,1,0,0
211,free that hoe 1x &#128520;,5,0,0,1
212,smurf a real cat bitch,5,0,0,1
213,rt <unk> bad bitches <unk>,5,0,0,1
214,pimps up hoes <unk> <unk>,5,0,0,1
215,<unk> you egg spam bitch,5,0,0,1
216,des hoes wishy washy &#128074;,5,0,0,1
217,that bitch looked <unk> <unk>,5,0,0,1
218,omg fuck these bitches <unk>,5,0,0,1
219,@_icantmiss send that hoe &#128514;&#128514;,5,0,0,1
220,<unk> is a bad bitch,5,0,0,1
221,<unk> while you hatin bitch.,5,2,0,0
222,@jacksparenohoe let's hang out nigger,5,2,0,0
223,@mikeb_in_the_d rams are for fags,5,2,0,0
224,rt <unk> @vontey_isa_boss &#127797; bitch lol,6,0,0,1
225,hahaha i see you niggah <unk>,6,0,0,1
226,@italian_montana im a boss ass bitch,6,0,0,1
227,what is up my twitta niccas!,6,0,0,1
228,yankee <unk> make me all <unk>,6,1,1,1
229,rt <unk> you're an annoying cunt,6,0,0,1
230,gator's bitches better be using jimmies,6,0,0,1
231,dallas hoe rt <unk> why <unk>,6,0,1,0
232,@marcfoor4 bitch you can get to.,6,0,0,1
233,rt @thebombshellll: <unk> you a bitch!,6,0,0,1
234,<unk> @yankees <unk> that matters ?,6,0,1,0
235,fucking douche bro. you're a fag,6,2,0,0
236,majority of it is trash anyway.,6,1,1,1
237,@gorgeouscamry_ ight bitch ima see u,6,0,0,1
238,do bitches still love <unk> <unk>,6,0,0,1
239,*bitch <unk> me: could you not?,6,0,0,1
240,<unk> u stupid fuk head bitch,6,0,0,1
241,thou shall not mock <unk> <unk>,6,1,1,1
242,can this bitch hurry up... <unk>,6,0,0,1
243,<unk> keeps calling me ghetto &#128532;,6,1,0,0
244,<unk> what a smelly hater bitch,6,0,0,1
245,rt @rihannahasaids: bitch change <unk> <unk>,6,0,0,1
246,@_nowashington what that hoe was like,6,0,0,1
247,follow a nicca on <unk> <unk>,6,0,0,1
248,let niggas <unk> bitches loving it.,6,0,0,1
249,someones clearly a stinky ass <unk>,6,0,2,0
250,i love this ho @nerissaloren <unk>,6,0,0,1
251,<unk> <unk> you are a bitch.,6,0,0,1
252,rt <unk> show me your pussy.,6,0,0,1
253,that ass got a niggah <unk>,6,0,0,1
254,pussy put his ass to sleep,6,0,0,1
255,@summerdawn_1996 <unk> omfg that's mine faggot,6,2,0,0
256,iggy is <unk> <unk> trash today.,6,1,1,1
257,my bitch is in town <unk>,6,0,0,1
258,red bone but her <unk> <unk>,6,1,0,0
259,<unk> damn bro.. ps4 trash lol,6,1,0,0
260,my pussy taste like pepsi cola.,6,0,0,1
261,make my burger bitch &#128514;&#128514; <unk>,6,0,0,1
262,i slept good thenna bitch tho,6,0,0,1
263,@laurenjauregui so your a dumb bitch?,6,0,0,1
264,<unk> for two year old <unk>,6,1,1,1
265,&#128064; bitches giving back <unk> ?,6,0,0,1
266,<unk> get that degree first bitch,6,0,0,1
267,rt <unk> <unk> <unk> hoe&#8221; <unk>,6,0,0,1
268,i'm jus a trill nicca mane,6,0,1,0
269,lol my brother a fag mann,6,0,0,1
270,i hate you niccas! lol <unk>,6,0,2,0
271,<unk> sweetest bitch you'll ever meet,6,0,0,1
272,dem niccas run plays too quick,6,0,0,1
273,@towherever yay im a whitey <unk>,6,1,1,1
274,@morbidmermaid do you work today <unk>,6,0,2,0
275,dmv nigguh dress funny as hell,6,0,0,1
276,my eyes feel so chink eyed,6,1,2,0
277,my mom's a fucking cunt dude.,6,0,0,1
278,happy birthday fag <unk> love ya,6,0,0,1
279,rt <unk> shy glizzy decent af,6,1,1,1
280,can i double stuff your oreo?,6,0,1,0
