,text,length,pred,target,correct
0,thanksgiving break bitches,3,0,0,1
1,switcharoo yo hoe,3,0,0,1
2,surprise bitch &#128526,3,0,0,1
3,stupid fucking cunt,3,0,0,1
4,stupid bitches .,3,0,0,1
5,stupid bitch &#128545,3,0,0,1
6,stupid ass hoe,3,0,0,1
7,stafford you pussy,3,0,0,1
8,<unk> tryna hoe,3,0,0,1
9,space brownies &#128125,3,2,2,1
10,so ghetto .,3,0,0,1
11,smoke <unk> bitch,3,0,0,1
12,smoke sum bitch,3,0,0,1
13,smh ma niggah,3,2,0,0
14,<unk> over hoes,3,1,0,0
15,simple minded hoe,3,0,0,1
16,shut up hoe,3,0,0,1
17,shut up faggot,3,1,1,1
18,<unk> on bitches,3,0,0,1
19,shit is trash,3,0,0,1
20,senior privileges bitch,3,0,0,1
21,really bitch ?,3,0,0,1
22,ray rice bitch,3,1,0,0
23,rack city bitch,3,0,0,1
24,rt <unk> pussy,3,0,0,1
25,tweakin hoe,2,0,0,1
26,tommy trash,2,2,2,1
27,this bitch,2,0,0,1
28,the jig,2,2,2,1
29,sup bitches,2,0,0,1
30,stupid bitch,2,0,0,1
31,smh queer,2,1,1,1
32,some niggas save hoes,4,0,1,0
33,so just chill hoe,4,0,0,1
34,smh hate that hoe,4,0,1,0
35,slut opp thot hoe,4,0,0,1
36,siri is terrible #cunt,4,2,0,0
37,shy girls &gt &gt,4,0,2,0
38,shut up bitch swallow,4,0,0,1
39,shoutout that real bitch,4,0,0,1
40,shine on them hoes,4,1,0,0
41,she trash tho .,4,0,2,0
42,she burned that bitch,4,0,0,1
43,sexy bitch lame nigguh,4,0,0,1
44,sexy ass yellow bone,4,0,0,1
45,<unk> bitch we <unk>,4,0,0,1
46,russian <unk> that hoe,4,0,0,1
47,<unk> a bitch <unk>,4,0,0,1
48,"roll tide , bitches",4,0,0,1
49,<unk> scared thenna bitch,4,0,0,1
50,<unk> ass hoe .,4,0,1,0
51,rt <unk> free wop,4,2,0,0
52,rt @xtruthseekerx_ @notoriousbeep blaxican,4,0,0,1
53,rt <unk> dumb bitch,4,0,0,1
54,rt <unk> little bitch,4,0,0,1
55,three little birds,3,2,2,1
56,this brownies bro,3,2,2,1
57,this bitch crazy,3,0,0,1
58,these bitches irritating,3,0,0,1
